title,author,index,category,year,comment,found
Moje życie na krawędzi,Messner Reinhold,K-1252,Geografia,"Stapis, Katowice 2008",,Nie
Lider. Górskim szlakiem Andrzeja Zawady,Matuszewska Ewa,K-1253,Geografia,"Iskry, Warszawa 2003",,Nie
Uciec jak najwyżej. Nie dokończone życie Wandy Rutkiewicz,Matuszewska Ewa,K-1254,Geografia,"Iskry, Warszawa 2007",,Nie
Komin Pokutników,Długosz Jan,K-1255,Przewodniki górskie,"Iskry, Warszawa 2008",,Nie
Góry Świętokrzyskie. Cz. I Okolice Kielc,Rogaliński Adam,K-1256,Archeologia,Lamart,,Nie
Zamość i okolice,Michałowicz-Kubal Marta,K-1257,Archeologia,Roksana Krosno,,Nie
W lodowym świecie Trolli,Piotrowski Tadeusz,K-126,Terenoznawstwo,1986 Warszawa,,Nie
Tatry Wysokie i Bielskie polskie i slowakie. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1260,Albumy,"ExpressMap, Warszawa 2007",,Nie
Tatry Zachodnie polskie i słowackie. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1261,Albumy,"ExpressMap, Warszawa 2007",,Nie
Beskid Śląski. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1262,Albumy,"ExpressMap, Warszawa 2007",,Nie
Beskid Żywiecki. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1263,Albumy,"ExpressMap, Warszawa 2007",,Nie
Beskid Makowski i Mały. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1264,Albumy,"ExpressMap, Warszawa 2007",,Nie
Beskid Sądecki. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1265,Albumy,"ExpressMap, Warszawa 2007",,Nie
Beskid Niski. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1266,Albumy,"ExpressMap, Warszawa 2007",,Nie
Bieszczady i Góry sanocko-turczańskie. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1267,Albumy,"ExpressMap, Warszawa 2007",,Nie
"Sudety Zachodnie. Góry Izerskie, Karkonosze, Góry Kaczawskie, Rudawy Janowickie. 3w1","Marcin Szymczak, Krzysztof Radwanski, Dominika Kalińska",K-1268,Albumy,"ExpressMap, Warszawa 2007",,Nie
"Sudety Środkowe. Góry Kamienne, Góry Wałbrzyskie, Góry Sowie, Masyw Ślęży. 3w1","Marcin Szymczak, Krzysztof Radwanski, Dominika Kalińska",K-1269,Albumy,"ExpressMap, Warszawa 2007",,Nie
Ustrzyki Dolne i okolice,Staruchowicz Zbigniew,K-127,Podręczniki narciarskie,1962,,Tak
"Sudety Wschodnie. Góry Stołowe, Gory Bystrzyckie i Orlickie, Góry Bardzkie, Masyw Śnieżnika, Góry Zlote i Bialskie, Góry Opawskie. 3w1","Marcin Szymczak, Krzysztof Radwanski, Dominika Kalińska",K-1270,Albumy,"ExpressMap, Warszawa 2007",,Nie
Góry Świętokrzyskie. 3w1,"Marcin Szymczak, Krzysztof Radwanski",K-1271,Albumy,"ExpressMap, Warszawa 2007",,Nie
Bohaterowie zielonych granic,Filar Alfons,K-128,Literatura,1979 Warszawa,,Tak
Vademecum turysty narciarza,"Harmata Jacek, Lenkiewicz Władysław",K-129,Przewodniki górskie,1971 Warszawa,,Nie
Skałki Rzędkowickie. Przewodnik wspinaczkowy po skałkach i jaskiniach Wyżyny Krakowsko-Częstochowskiej,Kiełkowscy Jan i Małgorzata,K-13,Przewodniki niegórskie,1981 Warszawa,,Tak
Poznań i okolice,"Kondziela Henryk, Zgodziński Bogdan",K-131,Przewodniki narciarskie,1971 Poznań,,Tak
Gotyckie kościoły drewniane na Podhalu,Kornecki Marian,K-132,Architektura,1987 Kraków,,Tak
Katalog zabytków sztuki w Polsce. T. IV Miasto Kraków. Cz. IV Kazimierz i Stradom. Kościoły i klasztory (tekst),"Rejduch Samkowa Izabella, Samek Jan (red)",K-133A,Architektura,1987 Warszawa,,Tak
Katalog zabytków sztuki w Polsce. T. IV Miasto Kraków. Cz. IV Kazimierz i Stradom. Kościoły i klasztory (ilustracje 1-430),"Rejduch Samkowa Izabella, Samek Jan (red)",K-133B,Albumy,1987 Warszawa,,Nie
Katalog zabytków sztuki w Polsce. T. IV Miasto Kraków. Cz. IV Kazimierz i Stradom. Kościoły i klasztory (ilustracje 1-430),"Rejduch Samkowa Izabella, Samek Jan (red)",K-133B,Architektura,1987 Warszawa,,Nie
Katalog zabytków sztuki w Polsce. T. IV Miasto Kraków. Cz. IV Kazimierz i Stradom. Kościoły i klasztory (ilustracje 431-1011),"Rejduch Samkowa Izabella, Samek Jan (red)",K-133C,Albumy,1987 Warszawa,,Nie
Katalog zabytków sztuki w Polsce. T. IV Miasto Kraków. Cz. IV Kazimierz i Stradom. Kościoły i klasztory (ilustracje 431-1011),"Rejduch Samkowa Izabella, Samek Jan (red)",K-133C,Architektura,1987 Warszawa,,Nie
"Bibliografia ""Pamiętników Towarzystwa Tatrzańskiego"" za lata 1876-1920",Polak Kazimierz,K-137,Wyprawy,1981 Warszawa-Kraków,,Tak
"Bibliografia ""Pamiętników Towarzystwa Tatrzańskiego"" za lata 1876-1920",Polak Kazimierz,K-138,Wyprawy,1981 Warszawa-Kraków,,Tak
Schroniska górskie w Karpatach polskich w latach 1939-1945,Mianowski Tomasz,K-139,Historia,1987 Warszawa-Kraków,,Tak
Beskid Mały. Przewodnik,Matuszczyk Andrzej,K-14,Przewodniki górskie,1981 Warszawa-Kraków,,Tak
Gdy do tej Babiej Góry przyjdziesz... (2),Stroka Jacek (red.),K-140,Monograficzne,1986 Bielsko-Biała,,Tak
"Pieniny (""Przyroda polska"")",Strojny Władysław,K-148,Przewodniki wspinaczkowe,1987 Warszawa,,Tak
"Ziemia Sądecka (""Przyroda polska"")","Staszkiewicz Jerzy, Witkowski Zbigniew",K-149,Przewodniki wspinaczkowe,1980 Warszawa,,Tak
Beskid Mały. Przewodnik,Matuszczyk Andrzej,K-15,Przewodniki górskie,1981 Warszawa-Kraków,,Tak
Jelenia Góra i okolice,Kulik Zbigniew,K-150,Przewodniki narciarskie,1986 Warszawa,,Tak
Wokół Annapurny,Samusik Jerzy,K-151,Terenoznawstwo,1987 Warszawa,,Tak
Gorczańskim szlakiem Władysława Orkana,"Królikiewicz Grażyna, Kruczek Zygmunt",K-152,Biograficzne,1987 Warszawa-Kraków,,Tak
W podziemiach tatrzańskich,Zwoliński Stefan,K-153,Słowniki,1987 Warszawa,,Tak
Alpiniści,Bilczewski Adam,K-155,Terenoznawstwo,1987 Katowice,,Tak
Między Skawą a Skawinką,Dobroski Józef Stanisław.,K-158,Podręczniki narciarskie,1986 Warszawa Kraków,,Tak
Uzdrowiska karpackie,"Kruczek Zygmunt, Weseli Agnieszka",K-159,Informatory,1987 Kraków,,Tak
Spływ przełomem pienińskim,Nyka Józef,K-160,Podręczniki narciarskie,1987 Warszawa-Kraków,,Tak
Rozmowy o Evereście,"Cichy Leszek, Wielicki Krzysztof, Żakowski Jacek",K-162,Terenoznawstwo,1987 Warszawa,,Tak
Rozmowy o Evereście,"Cichy Leszek, Wielicki Krzysztof, Żakowski Jacek",K-163,Terenoznawstwo,1987 Warszawa,,Tak
Limanowa i okolice,Wielek Jan,K-166,Podręczniki narciarskie,1987 Warszawa,,Tak
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-168,Architektura,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-168,Etnografia,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-169,Etnografia,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-169,Architektura,1987 Warszawa-Kraków,,Nie
Kpiarze pod Giewontem,Hennel Roman,K-170,Literatura,1987 Warszawa,,Tak
Alpiniści,Bilczewski Adam,K-171,Terenoznawstwo,1987 Katowice,,Tak
Alpiniści,Bilczewski Adam,K-172,Terenoznawstwo,1987 Katowice,,Tak
Z historii znakowania szlaków w Tatrach Polskich,Midowicz Władysław,K-173,Historia turystyki,1986 Warszawa-Kraków,,Tak
Ku niezdobytym szczytom,Chwaściński Bolesław,K-175,Terenoznawstwo,1987 Warszawa,,Nie
Ku niezdobytym szczytom,Chwaściński Bolesław,K-175,Historia turystyki,1987 Warszawa,,Nie
Góry mojego życia,Krygowski Władysław,K-178,Biograficzne,1987 Kraków,,Tak
Alpinizm,Nyka Józef,K-18,Historia turystyki,1976 Warszawa,,Tak
"Przewodnik trampingowy: Birma, Tajlandia, Malezja, Singapur, Indonezja",Urbanik Andrzej,K-180,Przewodniki narciarskie,1987 Warszawa,,Tak
Zarys dziejów Rusi Halickiej i Karpackiej w wiekach średnich,Olszański Tadeusz Andrzej.,K-181,Historia,1986 Warszawa,,Tak
Archeologia Karpat,Marszałek Juliusz,K-182,Archeologia,1986 Warszawa,,Tak
Geologia na szlaku,Mizerski Włodzimierz,K-183,Geologia,1987 Warszawa,,Tak
Z historii znakowania szlaków w Tatrach Polskich,Midowicz Władysław,K-184,Historia turystyki,1986 Warszawa-Kraków,,Nie
Z historii znakowania szlaków w Tatrach Polskich,Midowicz Władysław,K-185,Historia turystyki,1986 Warszawa-Kraków,,Tak
Rozmowy o Evereście,"Cichy Leszek, Wielicki Krzysztof, Żakowski Jacek",K-188,Terenoznawstwo,1982 Warszawa,,Nie
Tatrzańskim szlakiem literatury,Majda Jan,K-189,Nauka o literaturze,1987 Kraków,,Tak
Przewodnik po Jugosławii,Čirlić Branko,K-19,Przewodniki narciarskie,1980 Warszawa,,Tak
Sześć dni w Tatrach,Chałubiński Tytus,K-190,Biograficzne,1988 Kraków,,Tak
Śmierć czyha na K2,Palmowska Krystyna i in.,K-191,Terenoznawstwo,1987 Warszawa,,Nie
Szlakiem po Magurach,Leśniak Jerzy,K-193,Podręczniki narciarskie,1986 Nowy Sącz,,Tak
Doliną Ropy,Leśniak Jerzy,K-194,Przewodniki narciarskie,1986 Nowy Sącz,,Tak
Zakopane. Przewodnik historyczny,"Długołęcka Lidia, Pinkwart Maciej",K-195,Przewodniki narciarskie,1988 Warszawa,,Nie
Zakopane. Przewodnik historyczny,"Długołęcka Lidia, Pinkwart Maciej",K-195,Biograficzne,1988 Warszawa,,Nie
Zakopane. Przewodnik historyczny,"Długołęcka Lidia, Pinkwart Maciej",K-196,Biograficzne,1988 Warszawa,,Nie
Zakopane. Przewodnik historyczny,"Długołęcka Lidia, Pinkwart Maciej",K-196,Przewodniki narciarskie,1988 Warszawa,,Nie
E22 przez Przeworsk - Jarosław -- Przemyśl,Rożański Jan,K-197,Przewodniki narciarskie,1986 Rzeszów,,Tak
Siedem dni na Orawie polskiej,Ładygin Zbigniew,K-198,Podręczniki narciarskie,1985 Warszawa-Kraków,,Tak
Beskid Mały. Pasmo Magurki Wilkowickiej,Matuszczyk Andrzej,K-199,Podręczniki narciarskie,1987 Warszawa-Kraków,,Tak
Wokół Podhala,Zdebski Janusz,K-2,Przewodniki narciarskie,1979 Kraków,,Tak
Bułgaria,Burchardt Przemysław,K-20,Przewodniki narciarskie,1980 Warszawa,,Tak
Bułgaria,Burchard Przemysław,K-200,Przewodniki narciarskie,1987 Warszawa,,Nie
Łemkowie. Proces wrastania w środowisko Dolnego Śląska 1947-1985,Pudło Kazimierz,K-201,Etnografia,1987 Wrocław,,Tak
Bułgaria. Przewodnik turystyczny,"Michajłow Dymitr, Smolenow Panczo",K-202,Przewodniki narciarskie,"1988 Warszawa, Sofia",,Nie
Historia Polski (t.1-4),Buszko Józef,K-203,Historia,1988 Warszawa,,Nie
Geografia fizyczna Polski,Kondracki Jerzy,K-205,Geografia,1988 Warszawa,,Tak
Rośliny tatrzańskie. Atlas,Radwańska-Paryska Zofia,K-206,Albumy,1988 Warszawa,,Nie
Rośliny tatrzańskie. Atlas,Radwańska-Paryska Zofia,K-206,Przewodniki wspinaczkowe,1988 Warszawa,,Nie
Na zachodniej ścianie Makalu,Machnik Andrzej,K-207,Terenoznawstwo,1988 Warszawa,,Tak
Bułgaria. Przewodnik turystyczny,Nowak Andrzej,K-208,Przewodniki narciarskie,1988 Poznań,,Tak
Zakopiańskim szlakiem Walerego i Stanisława Eljaszów,Pinkwart Maciej,K-209,Biograficzne,1988 Warszawa-Kraków,,Tak
Góry mojej młodości,Hajdukiewicz Jerzy,K-210,Biograficzne,1988 Warszawa,,Nie
Góry mojej młodości,Hajdukiewicz Jerzy,K-210,Terenoznawstwo,1988 Warszawa,,Nie
25 wycieczek samochodowo-pieszych w Beskidy z Bielska-Białej,Sikora Andrzej,K-211,Podręczniki narciarskie,1988 Warszawa,,Tak
Stary Smokovec,Andraši Julius,K-212,Podręczniki narciarskie,1988 Bratislava,,Tak
Štrbske Pleso-Podbanske,Andraši Julius,K-213,Podręczniki narciarskie,1988 Bratislava,,Tak
Sześć dni w Tatrach,Chałubiński Tytus,K-214,Biograficzne,1988 Kraków,,Tak
Góry mojego życia,Krygowski Władysław,K-215,Biograficzne,1987 Kraków,,Tak
Z dziejów taternictwa,Chwaściński Bolesław,K-216,Historia turystyki,1988 Warszawa,,Tak
Munţii Codru-Moma,Bleahu Marcian D.,K-217,Podręczniki narciarskie,1978 Bucureşti,,Tak
Munţii Rodnei,"Buta Iuliu, Buta Ana Aurelia",K-218,Podręczniki narciarskie,1979 Bucureşti,,Tak
Munţii Vîlcan,Popescu Nae,K-219,Podręczniki narciarskie,1979 Bucureşti,,Tak
Przewodnik literacki po Zakopanem,Stecki Konstanty,K-22,Przewodniki narciarskie,1980 Warszawa,,Tak
Beskid Śląski. Pasmo Stożka i Czantorii,Barański Mirosław J.,K-220,Podręczniki narciarskie,1988 Warszawa-Kraków,,Tak
Beskid Śląski. Pasmo Stożka i Czantorii,Barański Mirosław J.,K-221,Podręczniki narciarskie,1988 Warszawa-Kraków,,Tak
Pierwsza pomoc. Podręcznik dla średnich szkół medycznych,"Dziak Artur, Dziak Maria, Kamiński Bogdan",K-223,Pierwsza pomoc,1988 Warszawa,,Tak
Role karpackie - obrzędy doroczne w Karpatach Polskich,Janicka-Krzywda Urszula,K-224,Etnografia,1988 Warszawa-Kraków,,Tak
Role karpackie - obrzędy doroczne w Karpatach Polskich,Janicka-Krzywda Urszula,K-225,Etnografia,1988 Warszawa-Kraków,,Tak
Austria,Ziemski Mieczysław,K-226,Przewodniki narciarskie,1988 Warszawa,,Tak
Austria,Ziemski Mieczysław,K-227,Przewodniki narciarskie,1988 Warszawa,,Tak
Sudety. Ziemia Kłodzka i Góry Opawskie,"Martynowski Zbigniew, Mazurski Krzysztof R.",K-228,Podręczniki narciarskie,1988 Warszawa,,Tak
Sudety. Ziemia Kłodzka i Góry Opawskie,"Martynowski Zbigniew, Mazurski Krzysztof R.",K-229,Podręczniki narciarskie,1988 Warszawa,,Tak
Słownik geografii świata,Szaflarski Józef (red),K-23,Monograficzne,1971 Warszawa,,Tak
Szczyrzyc,Galarowski Tadeusz,K-230,Podręczniki narciarskie,1988 Wrocław,,Tak
Rośliny tatrzańskie. Atlas,Radwańska-Paryska Zofia,K-231,Przewodniki wspinaczkowe,1988 Warszawa,,Nie
Rośliny tatrzańskie. Atlas,Radwańska-Paryska Zofia,K-231,Albumy,1988 Warszawa,,Nie
1000 tajemnic architektury,Trzeciak Przemysław,K-232,Architektura,1980 Warszawa,,Nie
Nowy cmentarz w Zakopanem. Przewodnik biograficzny,"Pinkwart Maciej, Zdebski Janusz",K-233,Biograficzne,1988 Kraków,,Tak
Sprzęt turystyczny i zasady poruszania się w górach,Gajewski Jerzy W.,K-234,Podręczniki,1988 Kraków,,Tak
Sprzęt turystyczny i zasady poruszania się w górach,Gajewski Jerzy W.,K-235,Podręczniki,1988 Kraków,,Tak
Czym naprawdę oddychamy?,Zimny Henryk,K-236,Przewodniki wspinaczkowe,1988 Warszawa,,Tak
Główny Szlak Sudecki,Garbaczewski Zbigniew,K-237,Podręczniki narciarskie,1987 Kraków,,Tak
Słońce nad Tiricz Mirem,Piotrowski Tadeusz,K-238,Terenoznawstwo,1988 Warszawa,,Tak
Tatry Wysokie. T. 25. Skorowidz nazwisk,Paryski Witold H.,K-239,Przewodniki niegórskie,1988 Warszawa,,Tak
Listy o stylu zakopiańskim 1892-1912 wokół Stanisława Witkiewicza,Jagiełło Michał (oprac.),K-24,Architektura,1979 Warszawa,,Tak
Zakopiańskim szlakiem Karola Szymanowskiego,Pinkwart Maciej,K-240,Biograficzne,1988 Warszawa-Kraków,,Tak
Dzieje Polskiego Towarzystwa Tatrzańskiego,Krygowski Władysław,K-241,Historia turystyki,1988 Warszawa-Kraków,,Tak
Tatry Polskie. Przewodnik,Nyka Józef,K-242,Podręczniki narciarskie,1988 Warszawa,,Tak
Bieszczady. Część południowa,Starakiewicz Maria,K-243,Podręczniki narciarskie,1988 Warszawa-Kraków,,Tak
Bieszczady. Część południowa,Starakiewicz Maria,K-244,Podręczniki narciarskie,1988 Warszawa-Kraków,,Tak
Dzieje Polskiego Towarzystwa Tatrzańskiego,Krygowski Władysław,K-245,Historia turystyki,1988 Warszawa-Kraków,,Tak
Dzieje Polskiego Towarzystwa Tatrzańskiego,Krygowski Władysław,K-246,Historia turystyki,1988 Warszawa-Kraków,,Nie
Poczet harnasi karpackich,Janicka-Krzywda Urszula,K-247,Biograficzne,1988 Warszawa-Kraków,,Tak
Vysoké Tatry IX,Puškaš Arno,K-248,Przewodniki niegórskie,1988 Bratysława,,Tak
Broad Peak'83 - tylko dwie,Czerwińska Anna,K-249,Terenoznawstwo,1989 Warszawa,,Tak
1000 tajemnic architektury,Trzeciak Przemysław,K-25,Architektura,1980 Warszawa,,Tak
Liptovská Mara,Hochmuth Zdenko,K-250,Podręczniki narciarskie,1985 Bratislava,,Tak
"Gorce (""Przyroda polska"")",Michalik Stefan,K-251,Przewodniki wspinaczkowe,1989 Warszawa,,Nie
"Gorce (""Przyroda polska"")",Michalik Stefan,K-252,Przewodniki wspinaczkowe,1989 Warszawa,,Nie
Tatranská Kotlina. Ždiar-Javorina,Andraši Julius,K-253,Podręczniki narciarskie,1988 Bratislava,,Nie
Szlakiem Wincentego Pola,"Kresek Zbigniew, Skonka Czesław, Sobczak Jerzy",K-255,Biograficzne,1989 Warszawa,,Nie
Nanga Parbat - góra o złej sławie,Czerwińska Anna,K-256,Terenoznawstwo,1989 Warszawa,,Nie
Beskid Żywiecki. Pasmo Polic,Matuszczyk Andrzej,K-257,Podręczniki narciarskie,1989 Warszawa-Kraków,,Nie
Beskid Żywiecki. Pasmo Polic,Matuszczyk Andrzej,K-258,Podręczniki narciarskie,1989 Warszawa-Kraków,,Nie
Nowy cmentarz w Zakopanem. Przewodnik biograficzny,"Pinkwart Maciej, Zdebski Janusz",K-260,Biograficzne,1988 Kraków,,Nie
Wspomnienia z Zakopanego,Matlakowski Władysław,K-262,Biograficzne,1989 Kraków,,Nie
Muzyka Góralska,Lidia Długołęcka,K-263,Etnografia,1988 Kraków,,Tak
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-266,Etnografia,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-266,Architektura,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-267,Architektura,1987 Warszawa-Kraków,,Nie
"Łemkowie - kultura, sztuka, język",Praca zbiorowa,K-267,Etnografia,1987 Warszawa-Kraków,,Nie
Przewodnictwo turystyczne w Polsce,Praca zbiorowa,K-268,Historia turystyki,1986 Warszawa-Kraków,,Nie
Wędrówka przez Bieszczady,Borucki Jan,K-269,Podręczniki narciarskie,1986 Warszawa-Kraków,,Nie
Moja tatrzańska symfonia,Młodziejowski Jerzy,K-27,Biograficzne,1981 Warszawa,,Tak
Wędrówka przez Bieszczady,Borucki Jan,K-270,Podręczniki narciarskie,1986 Warszawa-Kraków,,Nie
7 dni w Górach Grybowskich,"Lipszyc Jan Bazyl, Rygielski Janusz.",K-271,Podręczniki narciarskie,1986 Warszawa-Kraków,,Nie
Tatry Wysokie. T. 25. Skorowidz nazwisk,Paryski Witold H.,K-272,Przewodniki niegórskie,1988 Warszawa,,Nie
Broad Peak'83 - tylko dwie,Czerwińska Anna,K-273,Terenoznawstwo,1989 Warszawa,,Nie
Nanga Parbat - góra o złej sławie,Czerwińska Anna,K-274,Terenoznawstwo,1989 Warszawa,,Nie
Poczet harnasi karpackich,Janicka-Krzywda Urszula,K-275,Biograficzne,1988 Warszawa-Kraków,,Nie
Poczet harnasi karpackich,Janicka-Krzywda Urszula,K-276,Biograficzne,1988 Warszawa-Kraków,,Nie
Żywy Kaukaz,Wdowiak Szymon,K-278,Geologia,1967 Warszawa,,Nie
Ruchome góry,Jakubowski Krzysztof,K-279,Geologia,1967 Warszawa,,Nie
Moja tatrzańska symfonia,Młodziejowski Jerzy,K-28,Biograficzne,1981 Warszawa,,Tak
Muzea województwa krakowskiego,NN,K-280,Informatory,1970 Kraków,,Nie
Alpiniści,Bilczewski Adam,K-281,Terenoznawstwo,1987 Katowice,,Nie
Z kuferkiem i chlebakiem,Janczak Julian,K-282,Historia turystyki,1988 Warszawa-Kraków,,Nie
Góra Kalwaria - Grójec - Warka,Halpern Tadeusz,K-285,Przewodniki narciarskie,1979 Warszawa,,Nie
Jaskinia Wierzchowska Górna,"Górny Andrzej, Szelerowicz Mariusz",K-286,Słowniki,1984 Warszawa,,Nie
Taternik 1977 nr 2,,K-287,Czasopisma,1977 Warszwa,,Tak
25 wycieczek samochodowo-pieszych w Beskidy z Bielska-Białej,Sikora Andrzej,K-288,Podręczniki narciarskie,1985 Warszawa,,Nie
Babia Góra. Przewodnik turystyczny,Midowicz Władysław,K-289,Podręczniki narciarskie,1986 Warszawa-Kraków,,Nie
Zakony w Polsce,Pawlik Jerzy (red),K-290,Przyroda,1988 Łódź,,Nie
Taternik 1978 nr 2,,K-291,Czasopisma,1978 Warszwa,,Tak
"Atrybut - Patron - Symbol, czyli co o świętych i błogosławionych powinien wiedzieć przewodnik",Janicka-Krzywda Urszula,K-292,Przyroda,1988 Kraków,,Nie
Sprzęt turystyczny i zasady poruszania się w górach,Gajewski Jerzy W.,K-293,Podręczniki,1988 Kraków,,Nie
W stronę Pysznej,Zieliński Stanisław,K-294,Terenoznawstwo,1987 Warszawa,,Nie
Karmannyj bolgarsko-russki slovar',Leonidova M. A.,K-295,Religia,1986 Moskva,,Nie
Taternik 1979 nr 3,,K-296,Czasopisma,1979 Warszwa,,Tak
Taternik 1979 nr 4,,K-297,Czasopisma,1979 Warszwa,,Tak
Zarys historii architektury,Charytonow Edward,K-298,Architektura,1963 Warszawa,,Nie
Zarys historii architektury,Charytonow Edward,K-299,Architektura,1963 Warszawa,,Nie
Tatry Wysokie Cz. 22: Wyżnia Miedziana Przełączka - Mała Rakuska Czubka,Paryski Witold H.,K-3,Przewodniki niegórskie,1979 Warszawa,,Tak
Zdobycie Gasherbrumów,Rutkiewicz Wanda (red),K-30,Terenoznawstwo,1979 Warszawa,,Tak
Zarys historii architektury,Charytonow Edward,K-300,Architektura,1963 Warszawa,,Nie
"Ulicami Krakowa - ilustrowany informator, przewodnik o Krakowie...","Kossowski Jerzy, Ludwikowski Leszek",K-301,Przewodniki narciarskie,1968 Kraków,,Nie
Oświęcim 1940-1945. Przewodnik po muzeum.,Smoleń Kazimierz,K-302,Historia,1980 Katowice,,Nie
Taternik 1982 nr 2,,K-303,Czasopisma,1982 Warszwa,,Tak
Taternik 1983 nr 1,,K-304,Czasopisma,1983 Warszwa,,Tak
Taternik 1983 nr 1,,K-305,Czasopisma,1983 Warszwa,,Tak
Białym śladem,Harmata Jacek (red.),K-306,Podręczniki,1966 Warszawa,,Nie
România - Karpaty Marmaroskie,"Kulewski Adam, Wielocha Andrzej",K-307,Monograficzne,1985 Warszawa,,Nie
Taternik 1985 nr 2,,K-308,Czasopisma,1985 Warszwa,,Tak
Zdobycie Mount Everestu,Hunt John,K-31,Terenoznawstwo,1956 Warszawa,,Tak
Bieszczady i Pogórze Strzyżowsko-Dynowskie (część wschodnia),Krygowski Władysław,K-310,Podręczniki narciarskie,1970 Warszawa,,Nie
Walka polskich górali o Morskie Oko,Lubertowicz Zygmunt,K-311,Historia turystyki,1988 Kraków,,Nie
Taternik 1987 nr 1,,K-312,Czasopisma,1987 Warszwa,,Tak
Nebezpečenstvo lavín,"Milan Ladislav, Šramka Štefan",K-313,Podręczniki,1988 Bratislava,,Nie
Główny szlak zachodniobeskidzki im. K.Sosnowskiego: Ustroń-Krynica. Przewodnik turystyczny,Kresek Zbigniew,K-314,Podręczniki narciarskie,1989 Warszawa-Kraków,,Nie
Sygnały ze skalnych ścian. Tragedie tatrzańskie. Wędrówki alpejskie. Skalne lato,Żuławski Wawrzyniec,K-315,Terenoznawstwo,1958 Warszawa,,Nie
Ludzie i Tatry,Uziembło Adam,K-316,Biograficzne,1987 Kraków,,Nie
Babiogórski Park Narodowy,Szafer Władysław (red),K-317,Monograficzne,1963 Kraków,,Nie
Taternik 1990 nr 2,,K-318,Czasopisma,1990 Warszawa,,Tak
"Z kart ""Wierchów""","Rotter Artur, Zdebski Janusz",K-319,Historia turystyki,1984 Warszawa-Kraków,,Nie
"Góry Izerskie, Słownik geografii turystycznej Sudetów. T.1",Staffa Marek (red.),K-320,Geografia,1989 Warszawa-Kraków,,Nie
Główny szlak zachodniobeskidzki im. K.Sosnowskiego: Ustroń-Krynica. Przewodnik turystyczny,Kresek Zbigniew,K-321,Podręczniki narciarskie,1989 Warszawa-Kraków,,Nie
Rośliny Tatr Polskich. Ilustrowany przewodnik turystyczny,"Zarzycki Kazimierz, Zwolińska Zofia",K-322,Przewodniki wspinaczkowe,1984 Warszawa,,Nie
Ilustrowany przewodnik po Przemyślu i okolicy,Orłowicz Mieczysław,K-323,Przewodniki narciarskie,1917 Przemyśl,,Nie
Ilustrowany przewodnik po Przemyślu i okolicy,Orłowicz Mieczysław,K-324,Przewodniki narciarskie,1917 Przemyśl,,Nie
Z wysokości do jaskiń,Richard Colette,K-325,Terenoznawstwo,1974 Warszawa,,Nie
Limanowa i okolice,Wielek Jan,K-326,Podręczniki narciarskie,1987 Warszawa,,Nie
Między Sanem a Zbruczem. Walki o Lwów i Galicję Wschodnią 1918-1919,Kozłowski Maciej,K-327,Historia,1990 Kraków,,Nie
Przewodnik po Lwowie,Orłowicz Mieczysław,K-328,Przewodniki narciarskie,"1925 Lwów, Warszawa",,Nie
Bieszczady i Pogórze Strzyżowsko-Dynowskie (część wschodnia),Krygowski Władysław,K-329,Podręczniki narciarskie,1970 Warszawa,,Nie
Meteorologia i klimatologia,"Bac Stanisław, Rojek Marian",K-33,Meteorologia,1979 Warszawa,,Tak
Między Odrą a Drawą,Kucharski Bogdan,K-330,Przewodniki narciarskie,1988 Warszawa,,Nie
Uzdrowiska karpackie,"Kruczek Zygmunt, Weseli Agnieszka",K-332,Informatory,1987 Kraków,,Nie
Uzdrowiska karpackie,"Kruczek Zygmunt, Weseli Agnieszka",K-333,Informatory,1987 Kraków,,Nie
Rozmowy o Evereście,"Cichy Leszek, Wielicki Krzysztof, Żakowski Jacek",K-334,Terenoznawstwo,1987 Warszawa,,Nie
Rozmowy o Evereście,"Cichy Leszek, Wielicki Krzysztof, Żakowski Jacek",K-335,Terenoznawstwo,1987 Warszawa,,Nie
Mniej-więcej niż Dhaulagiri,Dąsal Mirosław Falco,K-336,Terenoznawstwo,1990 Czeladź,,Nie
Wybrałem góry. Z Sudetów w Himalaje,Lwow Aleksander,K-337,Terenoznawstwo,1990 Warszawa-Kraków,,Nie
"Huculszczyzna, Gorgany, Czarnohora",Ossendowski Antoni F.,K-338,Etnografia,1990 Wrocław,,Nie
